1520,"12/2/2021, 1:50:02 PM","2der","automovil",2806,318.2776759521903,"rightleft_bottomtop",54.64810833635123
1539,"12/2/2021, 1:50:03 PM","1der","automovil",2808,321.1701750950296,"rightleft_bottomtop",59.106164922299776
1542,"12/2/2021, 1:50:03 PM",1,"automovil",2804,241.29404745659892,"leftright_topbottom",30.817794043233828
1542,"12/2/2021, 1:50:03 PM","2der","automovil",2808,303.5110187978408,"rightleft_bottomtop",39.88145118200174
1545,"12/2/2021, 1:50:03 PM",2,"automovil",2804,239.8756820016388,"leftright_topbottom",32.55104404798066
1603,"12/2/2021, 1:50:04 PM","1der","camion_articulado_I",2814,350.78897345918335,"rightleft_bottomtop",88.7249632864535
1605,"12/2/2021, 1:50:04 PM","2der","camion_articulado_I",2814,329.03624346792645,"rightleft_bottomtop",65.40667585208743
1609,"12/2/2021, 1:50:04 PM","1der","automovil",2816,315.51616422976485,"rightleft_bottomtop",53.45215405703501
1614,"12/2/2021, 1:50:04 PM","2der","automovil",2816,301.1849746587384,"rightleft_bottomtop",37.55540704289933
1624,"12/2/2021, 1:50:05 PM","1der","automovil",2818,319.0856167799749,"rightleft_bottomtop",57.02160660724505
1629,"12/2/2021, 1:50:05 PM","2der","automovil",2818,301.8907918018457,"rightleft_bottomtop",38.26122418600666
1659,"12/2/2021, 1:50:05 PM","1der","pickup",2823,318.0940580589171,"rightleft_bottomtop",56.030047886187276
1663,"12/2/2021, 1:50:05 PM","2der","pickup",2823,303.146995832256,"rightleft_bottomtop",39.51742821641694
1702,"12/2/2021, 1:50:06 PM","1der","automovil",2827,315,"rightleft_bottomtop",52.93598982727017
1706,"12/2/2021, 1:50:06 PM","2der","automovil",2827,303.146995832256,"rightleft_bottomtop",39.51742821641694
1724,"12/2/2021, 1:50:07 PM","1der","automovil",2832,322.93555037008883,"rightleft_bottomtop",60.87154019735899
1727,"12/2/2021, 1:50:07 PM",1,"automovil",2826,234.323591778138,"leftright_topbottom",37.788249721694726
1728,"12/2/2021, 1:50:07 PM","2der","van",2832,302.2756443145776,"rightleft_bottomtop",38.646076698738575
1730,"12/2/2021, 1:50:07 PM",2,"automovil",2826,230.5993393365206,"leftright_topbottom",41.827386713098896
1762,"12/2/2021, 1:50:08 PM",1,"camion_unitario",2829,246.13982480865764,"leftright_topbottom",25.972016691175074
1765,"12/2/2021, 1:50:08 PM",2,"camion_unitario",2829,203.7203955723046,"leftright_topbottom",68.70633047731486
1776,"12/2/2021, 1:50:08 PM","1der","pickup",2835,319.56322975423785,"rightleft_bottomtop",57.49921958150802
1779,"12/2/2021, 1:50:08 PM","2der","pickup",2835,302.9386905429555,"rightleft_bottomtop",39.30912292711645
1806,"12/2/2021, 1:50:09 PM","1der","automovil",2838,318.73139699916044,"rightleft_bottomtop",56.66738682643062
1810,"12/2/2021, 1:50:09 PM","2der","automovil",2838,302.3998401739193,"rightleft_bottomtop",38.77027255808028
1851,"12/2/2021, 1:50:10 PM","1der","automovil",2842,320.3797015991254,"rightleft_bottomtop",58.31569142639558
1855,"12/2/2021, 1:50:10 PM","2der","automovil",2842,304.38034472384487,"rightleft_bottomtop",40.75077710800581
1858,"12/2/2021, 1:50:10 PM",1,"automovil",2840,243.97040780848653,"leftright_topbottom",28.141433691346194
1861,"12/2/2021, 1:50:10 PM",2,"automovil",2840,238.27639704231598,"leftright_topbottom",34.15032900730348
